Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AM
02/02/2021,3.058446132974835e-07,3.765653947962071e-08,-1.2995821573648661e-07,8.825050290231817e-08,1.9348139014330492e-07,8.784608703809392e-08,2.3780847164029039e-07,-7.01785237721667e-07,4.631690456051777e-08,1.7181719290511824e-06,-2.4551709870562927e-06,2.7641769380388413e-06,-5.510923290848979e-07,-5.261952246721329e-07,-1.6790913034024307e-07,2.1017704278030661e-07,-1.1534673837667092e-07,-1.551661905026326e-06,-9.858571524168886e-07,-1.562899690432346e-06,-1.0928479446894236e-06,-8.198772200313047e-07,-3.499530442568625e-07,8.211990269133478e-07,-1.6508953392462572e-07
02/03/2021,4.412776060508974e-07,5.769016657683421e-08,2.422143778590788e-08,5.84940610988803e-08,1.5765246945394332e-07,3.676637742585495e-07,2.2784453137952818e-07,-7.286924009077312e-07,3.7635811223447506e-08,1.9742157022262587e-06,-1.9591843234377697e-06,3.7898387306781966e-06,-3.84705002502256e-07,-2.6469780145790114e-07,-1.4712552176770243e-07,1.7242028013062766e-07,-3.6700694022692375e-07,-4.384977380002461e-07,-8.829999469019845e-07,-1.2424348402272383e-06,-6.489185745664463e-07,-5.483916303396783e-07,9.31716404247251e-07,1.2147900442820138e-06,-1.0495295290739453e-06
02/04/2021,4.5375769557654453e-07,2.5925455513799004e-08,-3.767829346854843e-10,3.267036374091668e-08,1.8221380723053834e-07,4.1937007194983243e-07,2.1845765832908523e-07,-4.970061227060175e-07,5.954413655920018e-10,1.6792338117584669e-06,-1.903921723627571e-06,1.7350832055042113e-06,-3.501766680960954e-07,-2.8357909634654485e-07,-7.256897978554449e-08,1.9217265772044394e-07,1.5626712096305025e-08,-9.663342057054745e-07,-8.282762148223684e-07,-1.8180199504281239e-06,-6.075524513644012e-07,-4.0415660576177845e-07,9.73909212332628e-07,1.4235361342208507e-06,-4.601711939606968e-07
02/05/2021,5.379898852404642e-07,7.814192366966855e-08,1.7458450452877059e-07,8.864542204738917e-08,3.836498817244239e-07,5.285197733030267e-07,4.997772339521809e-07,-8.584067281837984e-07,1.2448462522966887e-08,2.7347435646495543e-06,-1.0148661378130054e-06,2.6934056728065343e-06,-1.6654671009796907e-07,2.5187500498139015e-07,-1.5567846374932514e-07,1.075158444253518e-07,1.3123310412333605e-06,9.370078013776007e-07,-7.537801069915504e-07,-5.258077438888761e-07,-3.9604030074332204e-07,-3.05914424796376e-07,2.810845219292323e-06,2.1758502620781278e-06,-1.6059707490782915e-06
02/08/2021,7.696609873239768e-07,9.996140190494159e-08,3.362894565449273e-07,1.102771342045006e-07,7.000588081799006e-07,5.347325455903493e-07,6.787606190337552e-07,-3.833054155094118e-07,5.6653059367661976e-08,2.110425903189572e-06,-1.0550719749378671e-06,3.620836709510351e-06,-4.736260291506279e-08,3.4633300350714286e-07,1.2297069616721085e-07,2.7264983344307094e-07,4.964815513305034e-07,1.6162322199339692e-06,-7.633849523746566e-07,-8.912465061676633e-07,-6.539358765364514e-07,-2.23363719959409e-07,4.43642895495531e-06,2.4066257325710918e-06,-1.134637108912753e-06
02/09/2021,5.414407118588437e-07,9.962782895829738e-08,2.496869611713378e-07,9.944366615326789e-08,5.832700830366281e-07,1.5258267317095983e-07,6.790482133505166e-07,-3.2427817267399193e-07,3.694015617106693e-08,1.2624750049030186e-06,-1.6619026428695295e-06,1.6605399914048768e-06,1.5008313306398335e-07,3.002711556763853e-07,1.8040777695807184e-07,2.1782802102213846e-07,7.203793890611473e-07,1.282594075175598e-06,-4.729395896618257e-07,5.998780273515443e-07,-5.859874819249817e-07,-5.174647883019635e-07,4.726175504645313e-06,2.358615727645981e-06,-7.60906432798038e-07
02/10/2021,3.6753510373469144e-07,3.9264013184673036e-08,2.3351400909042703e-07,2.8939434217519865e-08,4.745557023498852e-07,5.039922878634008e-08,5.854440693652863e-07,-6.093081864245665e-07,-2.560084683238387e-09,8.401812863964277e-08,-1.475625094478692e-06,2.1637068760338103e-06,3.0819030632792733e-07,3.249147504859377e-08,7.664288616607352e-08,4.320938594629254e-07,3.5906947075024846e-07,-1.466355693340957e-07,-4.175543826874819e-07,-2.2358010973516212e-07,-6.673015081909987e-07,-1.1641650238674277e-06,3.5655194411516313e-06,1.150716771016351e-06,5.375008730499039e-07
02/11/2021,3.576193810773897e-07,-1.4803084004514402e-08,1.3323438406603228e-07,-9.791570463937838e-09,4.2779581706563047e-07,-2.495199116951547e-08,4.752702618059447e-07,6.313865156817415e-08,-4.375491226191685e-08,3.291706141414146e-07,-1.4758553281960118e-06,4.7433421452333134e-07,3.4701353432332147e-07,7.483998429331774e-08,2.43218030107934e-07,5.304643822866301e-07,-5.351526358387374e-08,-1.619644455623744e-08,-2.4779830249034485e-07,-8.514765460971001e-07,-6.610219730611612e-07,-8.70308276760657e-07,2.479353868277187e-06,1.1830768935182472e-06,8.355449816539164e-07
02/12/2021,5.20938795364915e-07,-4.407447474445968e-08,2.488282061235221e-07,-1.986329257551006e-08,5.061710920607146e-07,-1.1671284654254851e-07,5.418778542023806e-07,3.6878572865668583e-08,-6.369228936280048e-08,-4.8720074582252e-07,-1.500450726698798e-06,1.6791162387371825e-06,4.4516679876856745e-07,5.084714109012018e-07,1.88385519143509e-07,3.1504844322964807e-07,-9.415723929723323e-07,8.255018452077529e-07,-2.0924778083655504e-07,-1.334867993695713e-06,-8.775328064182939e-07,-1.2599939122640002e-06,3.179344427553595e-06,1.1248451206117623e-06,1.141930225083028e-06
02/16/2021,4.067064352748657e-07,-8.783222283606255e-08,2.556366770104408e-07,-1.0588251214793092e-08,5.580674514555072e-07,-2.969294205235942e-07,6.297540131802182e-07,2.3098929365335583e-07,-1.029848336717755e-07,-9.125203752249644e-07,-2.0380459928952403e-06,3.4183448750238548e-06,8.301165761803576e-07,6.465217538119422e-07,3.906800011164684e-07,8.191362593854593e-08,-1.1100187970004833e-06,1.1859419597938526e-06,-4.1554956344240784e-07,-1.2033468926191326e-06,-1.124728819382375e-06,-1.4669807100658553e-06,3.6984605369013945e-06,1.4824930711396812e-06,1.3929222756460181e-06
02/17/2021,1.8309664876660284e-07,-8.643033366631467e-08,4.380884919599196e-07,-3.3384865388578354e-08,3.4274911777689327e-07,-1.8581426312787373e-07,4.707497683452898e-07,3.0121991276314777e-07,-1.6558764384747075e-07,-1.1933002185628157e-06,-1.241977346293354e-06,3.5913034071255176e-06,8.188477376702104e-07,3.020602546289296e-07,4.793661452972271e-07,-5.610555065337647e-07,-8.878740881403588e-07,1.4133726526473547e-06,-4.710875705429414e-07,-1.644826102025208e-06,-7.680589399020399e-07,-7.499949741416587e-07,2.884556216985042e-06,9.106424025451251e-07,1.5305960785609062e-06
02/18/2021,2.2406858899862176e-07,-8.065965300251235e-08,5.601917890598701e-07,3.567740653233118e-08,8.118424772604614e-07,4.117009172074995e-08,7.587500207196534e-07,6.102812069186412e-07,-9.794446208469434e-08,-1.6059330113986147e-07,-7.02632688301125e-07,6.032103460421335e-06,1.247305927543858e-06,7.681358678050176e-07,6.483039017577274e-07,-1.9805799456718384e-07,7.088709656420254e-07,3.053623269764913e-06,7.045225234463899e-09,2.1604023410441507e-07,-1.4306290015971608e-07,4.90605794493267e-07,3.2145515260960275e-06,1.7313314331005884e-06,2.9103090220632228e-06
02/19/2021,1.201770615782483e-07,-5.558022726544529e-08,5.825284676085799e-07,4.6222207741678174e-08,6.045865654100123e-07,1.0863652945401169e-07,6.079684056710274e-07,7.438703493420079e-07,-1.0676423164109246e-07,-1.092837374158187e-06,-1.2084647343283114e-06,4.174375942472832e-06,1.1237104730844156e-06,7.661730331554613e-07,6.272974834299887e-07,-3.8961542959193114e-07,5.091273516348436e-07,1.8267794776437213e-06,-9.17910984613232e-08,-2.0473472446583976e-08,-3.219758334741525e-07,3.295696807970559e-07,2.703356588820104e-06,2.180501158912327e-06,-1.2641591317426865e-07
02/22/2021,1.5375645873018323e-07,-1.8065970837917226e-08,5.487121617398412e-07,1.5829493588062e-08,3.77129225086764e-07,4.8798444805231746e-08,4.959990727204958e-07,1.3957215319191355e-06,-2.709848442889423e-08,-9.869030987932197e-07,-1.166048744934983e-06,4.868360713662618e-06,1.2563681484648424e-06,3.957292329451788e-07,7.428181794893755e-07,-1.1226704521415609e-08,7.982495489034043e-07,1.3030118138153148e-06,-1.0270367405649718e-07,3.6096586521033e-07,-2.8907867807816644e-07,3.683416571634201e-07,1.6303801793094153e-06,2.003176082126951e-06,-1.1382657380756431e-07
02/23/2021,-5.884709788507354e-08,-5.839584932763705e-08,2.593465392841292e-07,-6.898065227207082e-08,2.889680981385705e-07,-3.6777138330132716e-08,3.144693844235009e-07,1.0520104838400765e-06,-1.334527619921263e-07,-5.349844517542355e-07,-7.083239337152611e-07,1.2147720165743721e-06,1.328967721215489e-06,6.022256729016841e-07,5.731168697117716e-07,-8.007678201635463e-08,5.356489469901443e-07,1.2023147278197048e-06,-2.656646335399198e-07,-3.9916653824990296e-08,-3.6472241992866505e-07,4.529545795773301e-07,-2.2628478922435345e-07,1.0815105335077157e-06,5.392997125721123e-08
02/24/2021,-8.618680842282571e-08,-4.273291908432181e-08,1.1019022232302493e-07,-5.866931143553478e-08,2.119889364684615e-07,-2.0834699491150676e-08,2.2301341585601413e-07,9.707085152251278e-07,-9.974109286878278e-08,7.574844944785995e-07,-8.429356288693807e-07,-4.902080290395719e-07,7.837430687257015e-07,4.4352478807697014e-07,6.157352072730112e-07,-7.132448278312051e-08,-1.4926637358876435e-07,7.587135780677071e-07,-9.71976038438508e-08,-1.022836461854533e-06,-3.8101824731629904e-07,3.8337544696686114e-07,-8.482745392935232e-07,7.115119251617483e-08,9.832968268246233e-07
02/25/2021,-1.3201991667621957e-07,-5.775691658432774e-08,1.5966078642395395e-07,-7.66915042988224e-08,5.355850413481982e-08,-5.5766898652650856e-08,4.85667190428754e-08,1.0009210582346245e-06,-1.1951441013126213e-07,1.3473537771480789e-06,-5.002312875286296e-07,2.2299609361161485e-06,8.902435197248485e-07,7.454085047764111e-07,6.811960205968145e-07,1.2659593078719548e-07,-3.5687863291198726e-07,1.3881623263519028e-06,-1.3773682559518666e-07,-1.2356772265706102e-06,-3.614908464544538e-07,2.1333477405131445e-07,-3.2435892324010074e-07,3.926204026844039e-07,1.1365594001055271e-06
02/26/2021,-1.3605562057902194e-07,-8.054563847157644e-08,-3.1668086580581525e-08,-9.06629684134785e-08,-4.416102817827909e-08,-2.3239940416726846e-07,-4.1118161284333244e-08,1.1347130148215717e-06,-1.6859648503352434e-07,4.571867733741828e-07,-4.91525168186053e-08,-1.2364442787472576e-06,5.15929586416115e-07,1.8857252390840318e-07,5.18132789658059e-07,4.8903894729751076e-08,-1.2915154059851945e-06,7.741414339429959e-07,-2.4372091203938654e-07,-1.704854115929101e-06,-1.70031144287398e-07,-1.7726084785355946e-07,-1.8985889607598433e-06,-3.28398871721023e-07,1.590923212020616e-06
03/01/2021,-1.0720737582837875e-07,-6.887269469125555e-08,1.8139987035827947e-08,-9.042478451093157e-08,-8.000869209314045e-08,-1.4684698029626073e-07,-6.993528209813584e-08,8.324463377984522e-07,-1.6823038678437746e-07,3.977243906821023e-07,4.375482685842256e-07,3.6585920700845186e-07,3.358878592555956e-07,1.478229525790517e-07,2.507394250068255e-07,-2.5264009996522634e-07,-9.348673149460051e-07,9.155933814155461e-07,-2.630866213448489e-07,-2.02403051671945e-06,-2.377607744086454e-07,-9.843430293224382e-08,-2.0903206615139817e-06,-4.600481185739607e-07,1.1178118748807178e-06
03/02/2021,-9.006057510592724e-08,-5.727308444059612e-08,-1.1706951290560283e-07,-9.747878957518783e-08,-2.7354962795432706e-08,-2.8272723580880073e-08,-1.9391094631498887e-08,1.1067574757377716e-06,-2.0627455985472245e-07,1.2160726174690053e-07,7.570464430242323e-07,1.4470842214626364e-06,4.979696110157475e-07,6.742793492553285e-07,2.2307416893114065e-07,-3.2181324041338834e-07,-1.4516321728453254e-06,1.7513228981385948e-06,-4.880965540204921e-07,-1.6758631706713938e-06,-2.814455405766898e-07,3.1202760148078204e-07,-2.077139693365089e-06,-6.381953463189502e-07,2.258179303466799e-06
03/03/2021,-1.780255964477604e-07,-7.829735973083741e-08,-2.2749296185843565e-07,-1.2266409330790551e-07,-2.0563525755138236e-08,-2.5528906611994463e-07,-1.6222808307019556e-08,1.1857881425768198e-06,-2.695495244006284e-07,3.496636418908511e-07,5.916496838336698e-07,6.679935077084027e-07,5.254232550541071e-07,7.276749729544931e-07,3.5457732592071383e-07,-5.7291221627922e-07,-1.591956728615192e-06,2.475607389898197e-06,-3.6321513637962585e-07,-1.8560679401490427e-06,-1.8186489725985435e-07,4.236331782961054e-07,-2.6860768301188154e-06,-9.610839749456122e-07,1.7464971692613613e-06
03/04/2021,-1.8467783544690527e-07,-8.715548386098727e-08,-3.514884954367633e-07,-1.0739797174895367e-07,-1.0615839371625327e-07,-3.9026403995951214e-07,-1.1040307117154023e-07,7.998944157069678e-07,-2.078808853522247e-07,-3.19463662131483e-07,-5.2297214570919626e-08,-6.198465274655832e-07,6.623331389234928e-07,6.282306739497105e-07,2.987475144108131e-07,-7.469219907900407e-07,-1.7976914687270125e-06,2.1102053162110158e-06,-5.235956325667135e-07,-2.224765260669127e-06,-1.523038496670014e-07,3.541440080600517e-07,-3.196318519903535e-06,-1.1325035050203714e-06,1.6182411183320383e-06
03/05/2021,-1.6240692840455584e-07,-6.2307693081253e-08,-3.2942875459887097e-07,-7.956747987838867e-08,-5.3326837500518e-08,-1.4909682757928613e-07,-5.27135352209364e-08,5.898127882138497e-07,-1.185077979875762e-07,-2.337326583905084e-07,4.4509291964572436e-08,-2.103948851273092e-06,4.034334072508108e-07,3.740958733592057e-08,3.4134640217110107e-07,-7.089935865273387e-07,-1.3181416915852823e-06,4.229394004225727e-07,-4.7083130474295135e-07,-1.7114640019279708e-06,-2.1524577279217564e-07,2.440565017166832e-07,-2.583441154058103e-06,-1.1628914723384084e-06,1.0201893419236765e-06
03/08/2021,-1.3052694908371075e-07,-6.701772602977919e-08,-3.07791722802088e-07,-7.848654053811274e-08,1.8337250293579424e-09,-8.573591905421396e-08,4.795561475692449e-09,7.519257911986603e-07,-9.967799268858278e-08,-4.60516390187866e-08,1.2591880004299171e-06,-1.7540303578687347e-06,3.703711675399078e-07,3.4235438986834867e-07,4.0065682199513523e-07,-7.551093220024527e-07,-1.3609898293954177e-06,1.2555809474866976e-06,-1.2249325900680704e-07,-1.2395639027784693e-06,-2.0368478531266151e-07,2.9733113836536515e-07,-2.519822594768335e-06,-1.0800025836841756e-06,7.288616605412496e-07
03/09/2021,-1.897688512782721e-07,-8.18523334055848e-08,-4.4883268779028315e-07,-1.1585780334556262e-07,-1.32618435882236e-07,-3.7032623291359846e-07,-1.3978922632456485e-07,9.895985918294493e-07,-1.8853444817092934e-07,1.8702119296446506e-07,2.3014552862055983e-06,-3.067369998530574e-06,3.332891085921802e-07,4.033776111498553e-07,4.4470949847166405e-07,-7.097501838625046e-07,-1.1793130208167952e-06,1.2237681963789993e-06,-5.16939327888531e-08,-2.468091678347249e-06,-6.999956942158856e-09,3.030080675580079e-07,-4.127410850099768e-06,-1.7167958701497237e-06,2.482944280977179e-07
03/10/2021,-1.2898818247913646e-07,-5.753177973696075e-08,-3.0671833631622623e-07,-9.216792512875191e-08,-1.0890082172066109e-07,-1.2986393229018925e-07,-1.046538352413936e-07,7.447192127941774e-07,-7.704666865609853e-08,-4.0102976800833776e-08,1.7966279441118721e-06,-2.127115917566873e-06,2.8562316338228013e-07,6.710092275272475e-07,3.758190639313069e-07,-6.439931756505259e-07,-8.575219709130783e-07,1.99178866384036e-06,-2.0033143915107725e-07,-2.0205752459217748e-06,-1.3060825986552388e-07,6.859805108040834e-08,-2.6986182561884564e-06,-1.4989982298747256e-06,-3.775365563658191e-07
03/11/2021,-1.5678486964748838e-07,-6.701027540973058e-08,-4.1417293520211886e-07,-1.349401567192276e-07,-1.2199582151136093e-07,-1.1729070797374648e-07,-1.1573479434279405e-07,9.908959705637994e-07,-8.33477968066053e-08,6.33181718430394e-07,2.1419849116997263e-06,-4.745607089756278e-06,4.5687927101027605e-07,8.438534632259098e-07,5.93518848517171e-07,-5.992094190299931e-07,-1.563521337962419e-06,2.8330234105311056e-06,-1.8639053648793706e-07,-2.0495174688051813e-06,-6.719711891836443e-08,3.1741846622418176e-07,-3.827981511111711e-06,-1.9745219153274272e-06,2.183093580444382e-06
03/12/2021,-5.3282705279826774e-08,-5.9117831479181205e-08,-4.317916865201129e-07,-7.553445680982383e-08,2.0271668363642297e-08,2.1572790971026884e-07,2.617620096139779e-08,1.461824197095347e-06,-9.614530695693586e-08,5.28863956784627e-07,3.48611234584289e-06,-2.8286752008782575e-06,3.615667957312636e-07,1.0406986461724447e-06,6.882684514999997e-07,-3.736543913036191e-07,-8.826974246477229e-07,4.121116544562212e-06,-2.3798532609525203e-08,-1.6968622027913542e-06,3.261022789316691e-08,5.830266438130819e-07,-2.1202555677189397e-06,-1.9304662422984382e-06,5.24185081475879e-06
03/15/2021,2.3341196117357814e-08,-4.476977397740254e-08,-4.282202322208321e-07,-5.922683058556696e-08,-6.1319845728492075e-09,1.5047983145436404e-07,-4.153212193784805e-09,1.2246237412695965e-06,-2.8852508184485115e-08,8.119670858710905e-07,4.1470473629549355e-06,-2.7970018695095504e-06,3.5106971133423247e-07,9.421576632036997e-07,6.916438107674919e-07,-2.5614692292405326e-07,-2.3789967620364689e-07,5.002505398327094e-06,1.8896644183841707e-07,-1.7112277289165803e-06,-3.831710853495692e-08,2.028585378183201e-07,-2.2573382287575805e-06,-1.9507051885307987e-06,1.1790425720909136e-06
03/16/2021,2.5357358824136007e-08,-1.607920911747697e-08,-3.0284865268769384e-07,-6.06071357863151e-08,-1.0536104594925653e-08,1.761809608103807e-07,-8.128099975976047e-09,1.0163465845130024e-06,1.4796065150403796e-08,-5.310105112909513e-07,3.1560247806795542e-06,-7.664881085602723e-08,2.6117270757923525e-07,5.653735369485142e-07,3.104723172483621e-07,-2.257088403034651e-09,9.708890354199835e-07,2.121235250314246e-06,1.1370480484157075e-07,-1.0490324027080135e-06,1.259625966810077e-07,5.652634156537601e-07,-1.7223013089400423e-06,-1.6904878396255724e-06,1.457579137474447e-06
03/17/2021,4.795858835571869e-08,1.5231515280540918e-09,-3.061016904945986e-07,-4.2180827368748865e-08,1.2051207901672673e-10,2.5242357197185915e-07,-4.239779199861722e-09,3.58277274470102e-07,-9.088935443000548e-08,-1.075118713971982e-06,2.3206795038188987e-06,-1.8001704711178958e-07,1.2738294084972516e-08,2.6836502292374217e-07,1.3879080323138078e-07,-1.178116873612863e-07,1.9073811490489656e-06,1.190086379069421e-06,1.5460777454489048e-07,-1.287298419903074e-06,1.9135633675284885e-07,3.5512139624972045e-07,-2.089453802163246e-06,-2.035022260878451e-06,-6.359126102061829e-07
03/18/2021,1.1891685435738269e-07,2.7837855843262007e-08,1.0400193031383324e-08,4.120487609748505e-08,1.2460326532998906e-07,5.400908751155217e-07,1.1316021434061316e-07,6.052816285024084e-07,2.3708442191054503e-08,-1.6331375414399176e-06,2.691848558208186e-06,2.4338402168526014e-06,1.8536764209552464e-07,4.998898178887084e-07,2.5313977538487703e-07,-2.0372799201130784e-07,1.6431062227974486e-06,2.0981151482859034e-06,2.3472416010673227e-07,-5.278399353759456e-07,2.0483369079201517e-07,-1.0972186254727103e-07,-7.092256585104919e-07,-1.3388577195403666e-06,-4.091512923173316e-07
03/19/2021,-2.0507815888716168e-08,-4.965903264216681e-09,-2.461150991105789e-07,-2.876511606036555e-08,-8.891798356202067e-10,4.352525954797708e-07,-1.1541841424510543e-09,3.1102341329715137e-07,-3.317984867543502e-08,-2.4127081968862996e-06,2.7113738830796916e-06,-4.2375322510539453e-07,3.25182715575796e-07,4.1770713087689654e-07,1.1619493068268205e-07,2.6416248005738945e-07,1.9981899235570374e-06,5.157750186897633e-07,6.090865956529474e-07,-8.852926325196992e-07,4.485862695520525e-07,-4.247556730117897e-07,-1.5207253052952197e-06,-5.81082095258333e-07,-6.76636869645966e-07
03/22/2021,-5.990203180940423e-08,-3.289562263529125e-08,-2.4048875664002036e-07,-2.445689555145968e-08,-4.478083946852771e-08,2.4434974210656257e-07,-3.9753072257272336e-08,7.048169291660908e-08,-6.875144242534918e-08,-1.776028258979157e-06,1.0781054410914032e-06,-2.8437418648193574e-07,5.6654245827840836e-08,-1.3944663582605077e-07,1.8898136925864306e-09,3.034696510024281e-08,7.650692327120431e-07,-1.4404189265974766e-07,1.4771396168629316e-07,-1.7739974788358485e-07,1.217271515549893e-07,-4.223193954831468e-07,-1.5234749354719978e-06,-3.463009089775262e-07,-6.553922780720918e-07
03/23/2021,3.008898878641051e-08,-1.2354989459518058e-08,-5.510414113498064e-08,9.097053128948351e-09,-4.8805186038025975e-08,4.7168193919679735e-07,-4.589874249617656e-08,7.80402334908081e-09,-2.0204477503508306e-08,-3.361748178576189e-06,2.7468469860332622e-06,-3.4221950763779295e-07,3.2086650917793725e-08,-3.1667123267789054e-07,-9.73414104483029e-09,1.2336764213923588e-07,1.9779954132456067e-06,-2.9423210650604355e-07,6.274879304884767e-07,4.5163218200455535e-07,5.634433219038969e-07,-2.3705474556024387e-07,-1.0321873309758472e-06,1.5919308238520967e-07,-1.5101987556443382e-06
03/24/2021,1.3917379629122134e-07,4.119240867191742e-09,9.355440971925449e-08,5.775440499385123e-08,5.2174966151749815e-08,5.995240831144221e-07,4.737390402842525e-08,-1.0579654957785454e-07,1.499531764330333e-08,-2.761077284544688e-06,3.45275314178882e-06,8.738861161619583e-08,-1.321262278469122e-07,-3.5353887207648545e-07,-6.867252265146361e-08,3.6829203248677203e-07,2.639936480254986e-06,-3.680154411199871e-07,8.065013990909563e-07,1.39216395451282e-06,3.477603631767001e-07,-2.867359891182957e-07,4.927846441153945e-07,9.54332031200295e-07,-1.9799109812354195e-06
03/25/2021,1.5028823699974932e-07,-3.761192377246551e-10,8.968790575904243e-08,6.214092005255457e-08,-2.729477309649904e-09,5.092044128908658e-07,-8.521343719190121e-09,1.7356317287537793e-08,1.401472440395486e-08,-2.5836379127434933e-06,3.234122386218581e-06,1.4768351822414213e-06,3.0466521812219834e-09,-1.605434729147722e-07,-1.355455093475075e-07,9.066000361250806e-07,3.441967343265249e-06,8.180695880621713e-07,1.0245618276728436e-06,1.98089606798528e-06,6.173190976392186e-07,-2.6024081391168765e-07,5.438342437675963e-07,4.4296646532123215e-07,-2.2819211452191487e-06
03/26/2021,9.380339399384708e-09,-6.915688778944868e-09,2.0052085536633615e-08,2.1417684303778588e-08,-8.650507181067382e-08,2.2327412695003978e-07,-1.0725956383101525e-07,-3.237062422234961e-07,6.031529168550329e-08,-4.378076074370886e-06,2.2874565386674927e-06,1.4643834758746968e-06,6.96257767023634e-08,-4.116269872568186e-07,-2.475189228678132e-07,5.997650193880075e-07,3.2048973890471545e-06,-2.3576827067150757e-07,7.919491985258233e-07,2.12331698078961e-06,3.756909628323661e-07,-4.207472539681927e-07,7.19895119795288e-07,-3.164261195798147e-07,-1.1748239789731747e-06
